iter	Passed	Remaining
0	4	460
1	8	416
2	12	396
3	15	367
4	19	379
5	23	364
6	25	343
7	28	324
8	29	303
9	32	290
10	34	277
11	35	262
12	37	248
13	38	236
14	39	225
15	40	214
16	41	204
17	42	195
18	44	187
19	45	180
20	46	174
21	47	169
22	49	165
23	50	160
24	51	154
25	52	149
26	53	144
27	54	139
28	54	134
29	55	130
30	56	125
31	57	121
32	58	118
33	59	114
34	60	111
35	60	108
36	61	105
37	62	102
38	64	100
39	64	97
40	65	94
41	65	91
42	66	88
43	67	85
44	68	83
45	69	81
46	69	78
47	70	76
48	71	74
49	72	72
50	73	70
51	73	68
52	74	66
53	75	64
54	76	62
55	77	60
56	78	59
57	79	57
58	80	56
59	81	54
60	82	52
61	82	50
62	83	49
63	84	47
64	85	45
65	86	44
66	86	42
67	87	41
68	88	39
69	89	38
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	95	28
77	95	27
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	104	12
89	105	11
90	107	10
91	108	9
92	109	8
93	109	7
94	110	5
95	111	4
96	112	3
97	112	2
98	113	1
99	114	0
